Variables= x y z
Zone T="Lower surface" i=1000  j=33
-0.5146528566654793  -0.06863645531225851  0.650390008533578
-0.5135873228007475  -0.06877417165152369  0.6504953938777005
-0.5125217889360156  -0.06891190366011045  0.6506007912125343
-0.5114562550712838  -0.06904965132503363  0.6507062005281425
-0.5103907212065519  -0.06918741463551516  0.6508116218162775
-0.5093251873418201  -0.0693251935792784  0.6509170550675447
-0.5082596534770882  -0.06946298814401848  0.651022500272528
-0.5071941196123564  -0.06960079831898987  0.6511279574230044
-0.5061285857476245  -0.06973862409136047  0.6512334265091546
-0.5050630518828927  -0.06987646544947636  0.6513389075220604
-0.503997518018161  -0.07001432238262417  0.6514444004535236
-0.5029319841534291  -0.07015219487744478  0.6515499052933214
-0.5018664502886973  -0.0702900829229065  0.6516554220330119
-0.5008009164239654  -0.07042798650810665  0.6517609506642521
-0.49973538255923355  -0.07056590561962957  0.6518664911767756
-0.4986698486945017  -0.0707038402468162  0.6519720435624261
-0.49760431482976986  -0.07084179037826129  0.6520776078124756
-0.496538780965038  -0.07097975600114591  0.6521831839171148
-0.49547324710030616  -0.07111773710484294  0.6522887718682114
-0.4944077132355743  -0.07125573367747152  0.6523943716566737
-0.49334217937084246  -0.07139374570678202  0.6524999832731279
-0.49227664550611067  -0.07153177318217875  0.6526056067094658
-0.4912111116413788  -0.07166981609133186  0.6527112419562521
-0.49014557777664697  -0.07180787442253424  0.6528168890045282
-0.4890800439119151  -0.07194594816522192  0.6529225478462101
-0.48801451004718327  -0.07208403730664127  0.6530282184715384
-0.4869489761824514  -0.07222214183560158  0.6531339008719494
-0.48588344231771957  -0.07236026174157033  0.6532395950393836
-0.4848179084529878  -0.07249839701139557  0.6533453009637762
-0.48375237458825593  -0.07263654763437709  0.6534510186369393
-0.4826868407235241  -0.07277471359976889  0.6535567480506497
-0.48162130685879223  -0.07291289489453512  0.6536624891949318
-0.4805557729940604  -0.07305109150819618  0.6537682420617664
-0.47949023912932853  -0.07318930342962761  0.6538740066426404
-0.4784247052645967  -0.07332753064626331  0.6539797829279381
-0.4773591713998649  -0.07346577314765491  0.6540855709096639
-0.47629363753513304  -0.07360403092232314  0.6541913705790333
-0.4752281036704012  -0.0737423039581477  0.6542971819267718
-0.47416256980566934  -0.07388059224471122  0.6544030049449074
-0.4730970359409375  -0.07401889577020294  0.6545088396244021
-0.47203150207620564  -0.07415721452292465  0.654614685956304
-0.4709659682114738  -0.07429554849248965  0.6547205439326651
-0.469900434346742  -0.07443389766678096  0.6548264135442127
-0.46883490048201015  -0.07457226203449983  0.6549322947823008
-0.4677693666172783  -0.07471064158529034  0.6550381876390047
-0.46670383275254645  -0.074849036306751  0.6551440921048343
-0.4656382988878146  -0.07498744618795884  0.6552500081714309
-0.46457276502308276  -0.07512587121858855  0.6553559358308934
-0.4635072311583509  -0.07526431138597485  0.6554618750735296
-0.4624416972936191  -0.07540276667954793  0.6555678258912514
-0.46137616342888726  -0.0755412370889775  0.6556737882761535
-0.4603106295641554  -0.07567972260142693  0.655779762218413
-0.45924509569942357  -0.07581822320662232  0.6558857477101679
-0.4581795618346917  -0.0759567388939839  0.6559917447433222
-0.45711402796995987  -0.07609526965101313  0.6560977533083115
-0.456048494105228  -0.07623381546746631  0.6562037733972972
-0.4549829602404962  -0.07637237633253492  0.656309805002008
-0.4539174263757644  -0.07651095223403749  0.6564158481131223
-0.4528518925110325  -0.07664954316176045  0.6565219027228243
-0.4517863586463007  -0.0767881491046864  0.656627968822683
-0.45072082478156883  -0.0769267700509306  0.656734046403604
-0.449655290916837  -0.07706540599030932  0.6568401354577943
-0.44858975705210513  -0.07720405691161598  0.6569462359766781
-0.44752422318737334  -0.07734272280324231  0.6570523479513725
-0.4464586893226415  -0.07748140365503453  0.6571584713741074
-0.44539315545790964  -0.07762009945561603  0.6572646062361771
-0.4443276215931778  -0.07775881019363569  0.6573707525288951
-0.44326208772844594  -0.07789753585896945  0.6574769102445143
-0.4421965538637141  -0.07803627644008912  0.6575830793742129
-0.44113101999898224  -0.07817503192588153  0.6576892599094869
-0.44006548613425045  -0.07831380230625216  0.6577954518426112
-0.4389999522695186  -0.07845258756953959  0.6579016551646624
-0.43793441840478675  -0.07859138770485011  0.6580078698673042
-0.4368688845400549  -0.07873020270211871  0.6581140959428344
-0.43580335067532305  -0.07886903254956838  0.658220333382241
-0.4347378168105912  -0.07900787723650665  0.6583265821773414
-0.43367228294585936  -0.07914673675289778  0.6584328423204564
-0.43260674908112756  -0.07928561108686656  0.6585391138024983
-0.4315412152163957  -0.07942450022790402  0.6586453966154254
-0.43047568135166386  -0.07956340416600366  0.6587516907515804
-0.429410147486932  -0.07970232288920884  0.6588579962018135
-0.42834461362220017  -0.0798412563871769  0.6589643129582103
-0.4272790797574683  -0.07998020464993046  0.6590706410131358
-0.42621354589273647  -0.08011916766544763  0.6591769803573904
-0.4251480120280047  -0.08025814542353547  0.6592833309831739
-0.4240824781632728  -0.08039713791424562  0.6593896928828737
-0.423016944298541  -0.08053614512550684  0.6594960660472524
-0.4219514104338091  -0.08067516704725954  0.6596024504686121
-0.4208858765690773  -0.08081420366958417  0.6597088461393619
-0.41982034270434543  -0.08095325498037578  0.6598152530502387
-0.4187548088396136  -0.08109232096969232  0.6599216711936345
-0.4176892749748818  -0.08123140162761157  0.6600281005619566
-0.41662374111014994  -0.08137049694207228  0.6601345411459751
-0.4155582072454181  -0.08150960690320312  0.6602409929381363
-0.41449267338068624  -0.08164873150105201  0.6603474559308244
-0.4134271395159544  -0.08178787072367066  0.6604539301148963
-0.41236160565122254  -0.08192702456121623  0.6605604154828197
-0.4112960717864907  -0.08206619300372112  0.6606669120269673
-0.4102305379217589  -0.08220537603933506  0.6607734197382705
-0.40916500405702705  -0.08234457365824367  0.6608799386092193
-0.4080994701922952  -0.08248378585047746  0.6609864686321846
-0.40703393632756335  -0.08262301260427028  0.6610930097981627
-0.4059684024628315  -0.08276225390983595  0.6611995620996646
-0.40490286859809965  -0.08290150975721676  0.6613061255290703
-0.4038373347333678  -0.08304078013471651  0.6614127000774297
